[constructive_heuristic] best sol improved: score=785, dist=78.68778394645362, Solution(n=150, next=[27, None, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, None, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 8, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=830, dist=86.03662986085344, Solution(n=150, next=[27, None, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 8, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 81, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, None, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=845, dist=87.24094806637196, Solution(n=150, next=[27, None, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 8, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 81, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=855, dist=88.09535165601586, Solution(n=150, next=[27, 8, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 1, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 81, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=870, dist=89.65893812073834, Solution(n=150, next=[27, 8, None, None, None, None, None, None, 69, None, None, None, None, None, None, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 1, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 50, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=895, dist=92.98255403420491, Solution(n=150, next=[27, 8, None, None, None, None, None, None, 69, None, None, None, None, None, 1, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 14, None, None, None, 128, 117, None, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 50, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=900, dist=93.09955255134174, Solution(n=150, next=[27, 8, None, None, None, None, None, None, 69, None, None, None, None, None, 1, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 87, None, None, None, 128, 117, 14, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 50, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=950, dist=97.22253439957778, Solution(n=150, next=[27, 8, None, None, 1, None, None, None, 69, None, None, None, None, None, 4, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 87, None, None, None, 128, 117, 14, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 50, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=985, dist=102.67830274057978, Solution(n=150, next=[27, 8, None, None, 1, None, None, None, 69, 4, None, None, None, None, 9, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 87, None, None, None, 128, 117, 14, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, None, 50, None, 61, None, None, None, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=1000, dist=102.70682549406916, Solution(n=150, next=[27, 8, None, None, 1, None, None, None, 69, 4, None, None, None, None, 137, None, 107, None, None, None, None, None, None, None, None, None, None, 62, None, 77, 60, None, None, None, None, None, None, None, None, None, None, 140, None, None, None, None, None, None, None, None, 81, None, None, 29, None, None, None, None, None, None, 74, 85, 30, None, None, None, None, None, None, 41, None, None, None, None, 120, None, None, 130, None, None, None, 87, None, None, None, 128, 117, 14, None, None, None, None, None, None, None, None, 138, None, None, None, None, None, 149, None, None, None, None, 96, None, None, None, None, None, None, None, None, None, 102, None, None, 16, None, None, None, None, None, None, None, 53, None, 86, None, None, None, None, None, None, 9, 50, None, 61, None, None, None, None, None, None, None, None, None])
